n02119789	kit fox, Vulpes macrotis
n03527444	holster
n03924679	photocopier
n04532106	vestment
n03571625	ink bottle, inkpot
n06785654	crossword puzzle, crossword
n03445777	golf ball
n04350905	suit, suit of clothes
n04562935	water tower
n03325584	feather boa, boa
n03250847	drumstick
n03757604	metronome
n04192698	shield, buckler
n03026506	Christmas stocking
n03534580	hoopskirt, crinoline
n02869837	bonnet, poke bonnet
n02799071	baseball
n03314780	face powder
n04141327	scabbard
n02823750	beer glass
n13052670	hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
n03637318	lampshade, lamp shade
n02952374	canteen
n02883205	bow tie, bow-tie, bowtie
n03709823	mailbag, postbag
n13011595	gill fungus
n02909870	bucket, pail
n03207743	dishrag, dishcloth
n03786901	mortar
n03521675	hipflask, pocket flask
n04453156	toothbrush
n04021028	pullover, slipover
n04367480	swab, swob, mop
n04349306	subway train
n04201297	shoji
n03978966	polo shirt, sport shirt
n02916936	bulletproof vest
n03240683	drilling platform, offshore rig
n02840245	binder, ring-binder
n02963159	cardigan
n03974915	point-and-shoot camera
n02843684	birdhouse
n03604400	jumper, pinafore, pinny
n03482405	hamper
n13060190	jelly fungus
n03902125	pay-phone, pay-station
n02882647	bowling pin, pin
n02730930	apron
n04525584	Venetian blind
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n02817516	bearskin, busby, shako
n03908714	pencil sharpener
n02906734	broom
n03788365	mosquito net
n02667093	abaya
n03787032	mortarboard
n03980874	poncho
n03141823	crutch
n03976467	Polaroid camera, Polaroid Land camera
n02897820	brick
n04033901	quill, quill pen
n04041544	radio, wireless
n12966945	dead-man's-fingers, dead-men's-fingers, Xylaria polymorpha
n02887489	brace, suspender, gallus
n03146219	cuirass
n03763968	military uniform
n03676483	lipstick, lip rouge
n04209133	shower cap
n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO
n03775071	mitten
n02892767	brassiere, bra, bandeau
n04522168	vase
n04118538	rugby ball
n03887697	paper towel
n13044778	earthstar
n03291819	envelope
n02807616	bathrobe
n03124170	cowboy hat, ten-gallon hat
n04487081	trolleybus, trolley coach, trackless trolley
n02808440	bathtub, bathing tub, bath, tub
n03351979	fishing rod, fishing pole
n04118021	rug, carpet, carpeting
n12985857	coral fungus
n06595351	magazine, mag
n02917067	bullet train, bullet
n02966687	carpenter's kit, tool kit
n03633091	ladle
n13040303	stinkhorn, carrion fungus
n03690938	lotion
n03476991	hair spray
n02669723	academic gown, academic robe, judge's robe
n03220513	dome
n03127925	crate
n04584207	wig
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n04418357	theater curtain, theatre curtain
n03781787	monitor
n04590129	window shade
n02795169	barrel, cask
n03805725	nail polish, nail enamel, nail varnish
n04553703	washbasin, handbasin, washbowl, lavabo, wash-hand basin
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n02802426	basketball
n02808304	bath towel
n03844815	oilskin, slicker
n03450230	gown
n04589890	window screen
n12998815	agaric
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n03825788	nipple
n02790996	barbell
n03710193	mailbox, letter box
n03908204	pencil
n02950632	cannon
n03630383	lab coat, laboratory coat
n03347037	fire screen, fireguard
n03733281	maze, labyrinth
n03535780	horizontal bar, high bar
n04259630	sombrero
n03929855	pickelhaube
n04049303	rain barrel
n04548362	wallet, billfold, notecase, pocketbook
n02979186	cassette player
n02942349	camcorder
n02825657	bell cote, bell cot
n03388183	fountain pen
n04591157	Windsor tie
n04540053	volleyball
n04136333	sarong
n02865351	bolo tie, bolo, bola tie, bola
n02834397	bib
n03888257	parachute, chute
n04235860	sleeping bag
n13043926	puffball, true puffball
n04404412	television, television system
n04371430	swimming trunks, bathing trunks
n03733805	measuring cup
n02895154	breastplate, aegis, egis
n04204238	shopping basket
n03558404	ice skate
n04131690	saltshaker, salt shaker
n03443371	goblet
n13037406	gyromitra
n04239436	sling, scarf bandage, triangular bandage
n03187595	dial telephone, dial phone
n03595614	jersey, T-shirt, tee shirt
n04146614	school bus
n03598930	jigsaw puzzle
n02872752	boot
n04069434	reflex camera
n03188531	diaper, nappy, napkin
n02786058	Band Aid
n04409515	tennis ball
n03424325	gasmask, respirator, gas helmet
n03014440	chessman, chess piece
n03223299	doormat, welcome mat
n03816136	needle
n03680355	Loafer
n04033995	quilt, comforter, comfort, puff
n03505504	headscarf
n03710721	maillot, tank suit
n04392985	tape player
n03047690	clog, geta, patten, sabot
n03584254	iPod
n02773838	bag, traveling bag, travelling bag, grip, suitcase
n13054560	bolete
n03309356	eyepatch, patch
n03420801	garrison cap, overseas cap
n03950228	pitcher, ewer
n03729826	matchstick
n02837789	bikini, two-piece
n04254777	sock
n02988304	CD player
n03657121	lens cap, lens cover
n04417672	thatch, thatched roof
n04523525	vault
n04205318	short pants, shorts, trunks
n02815834	beaker
n03888605	parallel bars, bars
n04498389	turban
n03355925	flagpole, flagstaff
n04116512	rubber eraser, rubber, pencil eraser
n04325704	stole
n03492922	hard hat, tin hat, safety hat
n03255030	dumbbell



